Assembly Center,Assembly Date,BoxA,BoxB,Qty Assembled,Vendor,,,Sum of Qty Assembled,Column Labels,,,,,,,,,,,,,,,,,,
Beohari,05-12-2015,1,1,40,,,,Row Labels,Beohari,Betul,Boriguma,Chotisarvan,Garhi,Ghatol,Igatpuri,Jaisinghnagar,Mawai,Mohgaon,Multai,Nabrangpur,Narayanganj,Peint,Pipalkhoont,Surgana,Trimbak,Umerkote,Grand Total
Narayanganj,11-12-2015,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,14-12-2015,2,2,57,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,01-01-2016,16,16,600,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,02-01-2016,11,10,400,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,04-01-2016,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,05-01-2016,9,9,321,G1,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,07-01-2016,6,6,277,G1,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,13-01-2016,16,16,600,G1,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,14-01-2016,20,20,760,G1,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,16-01-2016,16,16,640,G1,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,18-01-2016,14,13,520,G1,,,,,,,,,,,,,,,,,,,,,,
Peint,24-11-2015,2,2,78,,,,,,,,,,,,,,,,,,,,,,,
Peint,02-12-2015,6,6,200,,,,,,,,,,,,,,,,,,,,,,,
Peint,03-12-2015,9,9,390,,,,,,,,,,,,,,,,,,,,,,,
Peint,16-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Peint,17-12-2015,7,7,240,,,,,,,,,,,,,,,,,,,,,,,
Peint,18-12-2015,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,19-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Peint,21-12-2015,7,7,279,,,,,,,,,,,,,,,,,,,,,,,
Peint,22-12-2015,10,10,400,,,,,,,,,,,,,,,,,,,,,,,
Peint,24-12-2015,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,28-12-2015,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,29-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Peint,30-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Peint,31-12-2015,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,01-01-2016,10,10,400,,,,,,,,,,,,,,,,,,,,,,,
Peint,04-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,05-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,06-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,07-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,08-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,09-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,11-01-2016,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Peint,12-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Peint,14-01-2016,8,8,320,S1,,,,,,,,,,,,,,,,,,,,,,
Peint,15-01-2016,7,7,280,S1,,,,,,,,,,,,,,,,,,,,,,
Peint,18-01-2016,11,11,440,S1,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,19-11-2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,30-11-2015,4,4,148,,,,,,,,,,,,,,,,,,,,,,,
